"participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur"
35,NA,NA,NA,"2","Forward",NA,NA,NA,"1",NA,NA,NA,299,"cst","3","2","1","3","1","6","graphic (knw)","spd_inst",NA,116
36,NA,NA,NA,"4","Forward",NA,NA,NA,"1",NA,NA,NA,250,"cst","2","2","1","3","3","1","graphic (knw)","spd_inst",NA,116
38,NA,"Man",NA,"1","Forward",NA,280,197.555555555556,"3",NA,0.75982905982906,-0.24017094017094,260,"cst","2","1","1","3","3","2","graphic (knw)","spd_inst",NA,116
39,NA,"Man",NA,"2","Forward",NA,300,NA,"3",NA,NA,NA,38,"acc","3","2","1","3","2","2","graphic (knw)","spd_inst",NA,124
40,NA,"Man",NA,"4","Forward",NA,340,170,"2",NA,1.40495867768595,0.40495867768595,121,"acc","3","3","1","3","3","2","graphic (knw)","spd_inst",NA,124
41,NA,"Man",NA,"5","Forward",NA,300,NA,"3",NA,NA,NA,245,"cst","4","1","1","3","1","2","graphic (knw)","spd_inst",NA,124
42,NA,"Woman",NA,"4","Backward",NA,310,NA,"2",NA,NA,NA,155,"dec","4","1","1","2","1","5","graphic (knw)","spd_inst",NA,124
43,NA,"Woman",NA,"5","Forward",NA,250,58.3333333333333,"3",NA,0.729166666666667,-0.270833333333333,80,"acc","4","1","2","3","1","2","graphic (knw)","spd_inst",NA,124
46,NA,"Woman",NA,"3","Forward",NA,300,73.3333333333333,"2",NA,1.12820512820513,0.128205128205128,65,"acc","1","2","3","2","1","3","graphic (knw)","spd_inst",NA,124
47,NA,"Woman",NA,"2","Forward",NA,250,161.111111111111,"3",NA,0.540641312453393,-0.459358687546607,298,"cst","2","3","2","2","3","5","graphic (knw)","spd_inst",NA,116
48,NA,"Woman",NA,"1","Forward",NA,350,231.388888888889,"3",NA,0.784369114877589,-0.215630885122411,295,"cst","3","2","1","4","2","5","graphic (knw)","spd_inst",NA,116
49,NA,"Woman",NA,"6","Backward",NA,300,241.666666666667,"3",NA,0.905118601747815,-0.0948813982521847,267,"cst","2","4","1","3","3","5","graphic (knw)","spd_inst",NA,116
50,NA,"Man",NA,"5","Forward",NA,320,257.777777777778,"4",NA,0.888888888888889,-0.111111111111111,290,"dec","3","1","1","2","2","5","graphic (knw)","spd_inst",NA,116
51,NA,"Man",NA,"2","Backward",NA,318,291.5,"4",NA,0.988135593220339,-0.011864406779661,295,"cst","4","3","1","2","1","3","graphic (knw)","spd_inst",NA,116
52,NA,"Woman",NA,"4","Backward",NA,270,247.5,"3",NA,0.853448275862069,-0.146551724137931,290,"cst","4","3","1","3","1","1","graphic (knw)","spd_inst",NA,116
53,NA,"Man",NA,"2","Backward",NA,420,NA,"3",NA,NA,NA,260,"cst","3","2","1","1","2","2","graphic (knw)","spd_inst",NA,116
55,NA,"Man",NA,"3","Backward",NA,300,226.666666666667,"3",NA,0.875160875160875,-0.124839124839125,259,"cst","3","3","1","3","1","4","graphic (knw)","spd_inst",NA,124
56,NA,"Woman",NA,"6","Forward",NA,365,306.194444444444,"3",NA,3.18952546296296,2.18952546296296,96,"dec","2","2","3","1","3","5","graphic (knw)","spd_inst",NA,124
57,NA,"Woman",NA,"5","Forward",NA,300,243.333333333333,"2",NA,1.52083333333333,0.520833333333333,160,"dec","3","1","1","3","1","3","graphic (knw)","spd_inst",NA,124
58,NA,"Woman",NA,"1","Backward",NA,298,NA,"2",NA,NA,NA,140,"dec","3","3","1","4","1","1","graphic (knw)","spd_inst",NA,124
59,NA,"Woman",NA,"5","Backward",NA,360,320,"3",NA,1.21673003802281,0.216730038022814,263,"cst","3","2","1","2","1","3","graphic (knw)","spd_inst",NA,116
60,NA,"Woman",NA,"2","Forward",NA,350,70,"2",NA,1.09375,0.09375,64,"acc","2","2","1","3","1","2","graphic (knw)","spd_inst",NA,124
61,NA,"Man",NA,"3","Backward",NA,300,245,"2",NA,0.890909090909091,-0.109090909090909,275,"cst","3","2","1","3","2","2","graphic (knw)","spd_inst",NA,116
62,NA,"Man",NA,"5","Forward",NA,330,216.333333333333,"2",NA,0.75906432748538,-0.24093567251462,285,"cst","4","1","1","2","1","1","graphic (knw)","spd_inst",NA,116
63,NA,"Woman",NA,"6","Backward",NA,250,198.611111111111,"1",NA,0.684865900383142,-0.315134099616858,290,"cst","3","2","3","1","1","2","graphic (knw)","spd_inst",NA,116
64,NA,"Woman",NA,"2","Forward",NA,300,278.333333333333,"3",NA,1.08300907911803,0.0830090791180287,257,"cst","3","1","1","3","1","2","graphic (knw)","spd_inst",NA,116
65,NA,"Man",NA,"2","Forward",NA,315,274.75,"3",NA,1.04467680608365,0.0446768060836502,263,"cst","3","3","1","3","1","4","graphic (knw)","spd_inst",NA,116
66,NA,"Woman",NA,"6","Backward",NA,300,178.333333333333,"2",NA,0.685897435897436,-0.314102564102564,260,"cst","4","2","3","2","1","2","graphic (knw)","spd_inst",NA,116
67,NA,"Woman",NA,"1","Forward",NA,250,80.5555555555556,"1",NA,1.46464646464646,0.464646464646465,55,"acc","3","2","1","4","1","1","graphic (knw)","spd_inst",NA,124
69,NA,"Man",NA,"4","Forward",NA,320,252.444444444444,"3",NA,0.959864807773553,-0.040135192226447,263,"cst","4","2","1","3","1","5","graphic (knw)","spd_inst",NA,124
70,NA,"Woman",NA,"3","Forward",NA,392,280.933333333333,"1",NA,1.02530413625304,0.0253041362530414,274,"cst","4","2","1","4","1","5","graphic (knw)","spd_inst",NA,124
71,NA,"Woman",NA,"4","Backward",NA,280,238,"2",NA,0.915384615384615,-0.0846153846153846,260,"cst","4","1","1","3","1","5","graphic (knw)","spd_inst",NA,116
72,NA,"Woman",NA,"1","Forward",NA,250,175,"1",NA,1.2962962962963,0.296296296296296,135,"acc","3","2","1","3","1","2","graphic (knw)","spd_inst",NA,116
73,NA,"Woman",NA,"2","Forward",NA,300,NA,"2",NA,NA,NA,157,"acc","3","3","1","3","3","2","graphic (knw)","spd_inst",NA,116
74,NA,"Man",NA,"4","Forward",NA,300,131.666666666667,"2",NA,0.446327683615819,-0.553672316384181,295,"cst","4","3","1","2","2","5","graphic (knw)","spd_inst",NA,116
75,NA,"Man",NA,"6","Forward",NA,300,228.333333333333,"2",NA,0.774011299435028,-0.225988700564972,295,"cst","4","2","1","2","1","3","graphic (knw)","spd_inst",NA,116
76,NA,"Woman",NA,"5","Backward",NA,260,235.444444444444,"2",NA,0.782207456626061,-0.217792543373939,301,"cst","3","2","1","3","3","4","graphic (knw)","spd_inst",NA,116
77,NA,"Man",NA,"3","Backward",NA,300,NA,"2",NA,NA,NA,261,"cst","3",NA,"1","3","3","5","graphic (knw)","spd_inst",NA,116
78,NA,"Woman",NA,"6","Backward",NA,300,NA,"1",NA,NA,NA,260,"cst","3","2","1","4","1","5","graphic (knw)","spd_inst",NA,116
79,NA,"Woman",NA,"1","Forward",NA,250,163.888888888889,"1",NA,0.618448637316562,-0.381551362683438,265,"cst","2","1","2","3","3","1","graphic (knw)","spd_inst",NA,116
80,NA,"Man",NA,"4","Backward",NA,300,70,"3",NA,1.75,0.75,40,"acc","3","1","1","3","1","4","graphic (knw)","spd_inst",NA,124
81,NA,"Man",NA,"5","Backward",NA,300,263.333333333333,"2",NA,0.886644219977553,-0.113355780022447,297,"cst","2","2","1","3","1","2","graphic (knw)","spd_inst",NA,124
82,NA,"Woman",NA,"3","Forward",NA,300,51.6666666666667,"2",NA,0.173961840628507,-0.826038159371493,297,"cst","2","2","1","2","2","5","graphic (knw)","spd_inst",NA,124
83,NA,"Woman",NA,"2","Backward",NA,290,215.888888888889,"4",NA,0.744444444444444,-0.255555555555556,290,"cst",NA,"2",NA,"3","3","5","graphic (knw)","spd_inst",NA,124
85,NA,"Man",NA,"1","Backward",NA,250,220.833333333333,NA,NA,0.788690476190476,-0.211309523809524,280,"cst","3","1","1","3","1","5","graphic (knw)","spd_inst",NA,124
86,NA,"Man",NA,"2","Forward",NA,310,251.444444444444,"3",NA,0.849474474474475,-0.150525525525525,296,"cst","3","2","1","3","2","5","graphic (knw)","spd_inst",NA,124
87,NA,"Man",NA,"5","Backward",NA,300,243.333333333333,"2",NA,1.00137174211248,0.00137174211248289,243,"cst","4","2","1","3","3","2","graphic (knw)","spd_inst",NA,124
88,NA,"Man",NA,"3","Forward",NA,350,161.388888888889,"3",NA,0.733585858585859,-0.266414141414141,220,"acc","2","2","1","2","3","2","graphic (knw)","spd_inst",NA,116
89,NA,"Man",NA,"6","Forward",NA,320,NA,"3",NA,NA,NA,270,"cst","3","4","1","3","2","2","graphic (knw)","spd_inst",NA,116
90,NA,"Man",NA,"6","Backward",NA,320,204.444444444444,"3",NA,0.73015873015873,-0.26984126984127,280,"cst","2","3","1","3","3","2","graphic (knw)","spd_inst",NA,116
91,NA,"Man",NA,"2","Forward",NA,300,290,"2",NA,1.07407407407407,0.0740740740740741,270,"cst","3","2","1","3","2","5","graphic (knw)","spd_inst",NA,116
92,NA,"Man",NA,"5","Forward",NA,320,257.777777777778,"3",NA,0.987654320987654,-0.0123456790123457,261,"cst","2","3","1","3","2","5","graphic (knw)","spd_inst",NA,116
93,NA,"Man",NA,"4","Forward",NA,270,219,"2",NA,0.826415094339623,-0.173584905660377,265,"cst","2","1","1","3","2","5","graphic (knw)","spd_inst",NA,116
94,NA,"Man",NA,"3","Forward",NA,398,355.988888888889,"2",NA,1.35873621713316,0.358736217133164,262,"cst","3","2","2","3","2","3","graphic (knw)","spd_inst",NA,116
95,NA,"Woman",NA,"1","Forward",NA,300,268.333333333333,"2",NA,0.941520467836257,-0.0584795321637426,285,"cst","3","3","1","4","1","2","graphic (knw)","spd_inst",NA,116
96,NA,"Man",NA,"6","Forward",NA,250,153.472222222222,"3",NA,1.00968567251462,0.00968567251461992,152,"dec","3","3","1","3","1","2","graphic (knw)","spd_inst",NA,116
97,NA,"Woman",NA,"5","Forward",NA,300,101.666666666667,"3",NA,1.56410256410256,0.564102564102564,65,"acc","2","2","1","2","1","2","graphic (knw)","spd_inst",NA,124
98,NA,"Woman",NA,"3","Forward",NA,300,195,"3",NA,1.14705882352941,0.147058823529412,170,"acc","4",NA,"1","3","1","5","graphic (knw)","spd_inst",NA,124
99,NA,"Woman",NA,"2","Forward",NA,300,270,"3",NA,0.915254237288136,-0.0847457627118644,295,"acc","3","3","1","3","1","4","graphic (knw)","spd_inst",NA,124
100,NA,"Man",NA,"1","Forward",NA,300,291.666666666667,"3",NA,1.12179487179487,0.121794871794872,260,"cst","4","1","1","4","1","6","graphic (knw)","spd_inst",NA,124
101,NA,"Man",NA,"4","Forward",NA,300,NA,"2",NA,NA,NA,265,"cst","3","3","1","2","2","5","graphic (knw)","spd_inst",NA,124
102,NA,"Man",NA,"2","Backward",NA,305,196.555555555556,"4",NA,0.741719077568134,-0.258280922431866,265,"cst","2","2","3","2","3","2","graphic (knw)","spd_inst",NA,124
104,NA,"Woman",NA,"5","Backward",NA,350,NA,"2",NA,NA,NA,251,"cst","3","2","2","3","2","6","graphic (knw)","spd_inst",NA,124
105,NA,"Man",NA,"4","Forward",NA,315,281.75,"3",NA,0.971551724137931,-0.028448275862069,290,"cst","3","3","1","3","2","2","graphic (knw)","spd_inst",NA,124
106,26,"Woman","Left-handed","6","Backward",NA,110,38.5,"1",NA,0.26551724137931,-0.73448275862069,145,"acc","3","2","1","3","2","2","graphic (knw)","spd_inst",NA,116
110,22,"Woman","Right-handed","3","Forward",NA,300,150,"2",NA,0.6,-0.4,250,"acc","3","1","2","3","1","2","graphic (knw)","spd_inst",NA,116
111,23,"Woman","Left-handed","5","Forward",NA,250,170.833333333333,"2",NA,0.587056128293242,-0.412943871706758,291,"cst","3","3","2","2","3","2","graphic (knw)","spd_inst",NA,116
112,22,"Man","Left-handed","4","Backward",NA,270,NA,"3",NA,NA,NA,245,"cst","2","3","1","3","2","5","graphic (knw)","spd_inst",NA,116
113,31,"Man","Right-handed","1","Backward",NA,240,214.666666666667,"3",NA,0.835278858625162,-0.164721141374838,257,"cst","2","1","1","3","1","5","graphic (knw)","spd_inst",NA,116
114,31,"Man","Right-handed","1","Backward",NA,240,214.666666666667,"3",NA,0.835278858625162,-0.164721141374838,257,"cst","2","1","1","3","1","5","graphic (knw)","spd_inst",NA,116
115,32,"Man","Right-handed","3","Backward",NA,300,NA,"2",NA,NA,NA,240,"cst","3","4","1","3","1","1","graphic (knw)","spd_inst",NA,116
116,30,"Man","Right-handed","4","Forward",NA,350,225.555555555556,"3",NA,0.864197530864198,-0.135802469135802,261,"cst","3","1","1","4","1","1","graphic (knw)","spd_inst",NA,116
117,NA,NA,NA,"2","Forward",NA,300,193.333333333333,"1",NA,0.752269779507134,-0.247730220492866,257,"cst","3","3","3","1","1","2","graphic (knw)","spd_inst",NA,116
118,24,"Woman","Right-handed","5","Forward",NA,300,NA,"3",NA,NA,NA,260,"cst","2","2","1","3","2","5","graphic (knw)","spd_inst",NA,116
119,49,"Man","Right-handed","6","Forward",NA,600,NA,"2",NA,NA,NA,77,"acc","4",NA,"2","3","1","2","graphic (knw)","spd_inst",NA,124
120,NA,"Man","Right-handed","2","Forward",NA,350,305.277777777778,"4",NA,1.09027777777778,0.0902777777777777,280,"cst","4","3","1","4","1","5","graphic (knw)","spd_inst",NA,124
121,29,"Woman","Right-handed","1","Backward",NA,320,263.111111111111,"3",NA,0.956767676767677,-0.0432323232323233,275,"cst","3","3","1","2","1","5","graphic (knw)","spd_inst",NA,124
122,53,"Woman","Left-handed","4","Backward",NA,300,286.666666666667,"2",NA,1.08176100628931,0.0817610062893082,265,"cst","4","1","1","3","1","2","graphic (knw)","spd_inst",NA,124
123,61,"Woman","Right-handed","6","Forward",NA,300,NA,"3",NA,NA,NA,288,"cst","2","3","2","2","1","5","graphic (knw)","spd_inst",NA,124
124,43,"Woman","Right-handed","5","Forward",NA,310,242.833333333333,"3",NA,0.852046783625731,-0.147953216374269,285,"cst","3","1","1","3","1","2","graphic (knw)","spd_inst",NA,124
125,64,"Man","Right-handed","3","Forward",NA,200,97.7777777777778,"3",NA,0.434567901234568,-0.565432098765432,225,"dec","3","2","1","3","1","2","graphic (knw)","spd_inst",NA,124
126,58,"Man","Right-handed","5","Backward",NA,300,105,"2",NA,0.75,-0.25,140,"dec","2","3","1",NA,"1","6","graphic (knw)","spd_inst",NA,124
127,52,"Woman","Right-handed","3","Forward",NA,200,297.777777777778,"2",NA,1.12368972746331,0.123689727463312,265,"acc","4","1","4","1","4","1","graphic (knw)","spd_inst",NA,116
128,31,"Man","Right-handed","1","Forward",NA,350,227.5,"3",NA,0.771186440677966,-0.228813559322034,295,"cst","4","3","1","3","1","5","graphic (knw)","spd_inst",NA,116
129,NA,"Woman","Right-handed","2","Forward",NA,360,334,"2",NA,1.28461538461538,0.284615384615385,260,"cst","3","1","1","2","1","5","graphic (knw)","spd_inst",NA,116
130,27,"Man","Right-handed","4","Forward",NA,300,200,"3",NA,0.746268656716418,-0.253731343283582,268,"cst","4","1","1","4","1","5","graphic (knw)","spd_inst",NA,116
131,38,"Man","Right-handed","6","Backward",NA,250,236.111111111111,"3",NA,0.792319164802386,-0.207680835197614,298,"cst","4","2","1","3","1","3","graphic (knw)","spd_inst",NA,116
132,37,"Man","Right-handed","3","Backward",NA,300,226.666666666667,"2",NA,0.795321637426901,-0.204678362573099,285,"cst","2","2","1","3","2","5","graphic (knw)","spd_inst",NA,116
133,21,"Woman","Right-handed","3","Backward",NA,350,188.611111111111,"3",NA,0.739651416122004,-0.260348583877996,255,"cst","3","2","1","3","1","2","graphic (knw)","spd_inst",NA,116
134,49,"Man","Right-handed","2","Backward",NA,300,220,"2",NA,0.830188679245283,-0.169811320754717,265,"cst","3","3","1","1","1","5","graphic (knw)","spd_inst",NA,116
135,23,"Woman","Right-handed","1","Backward",NA,220,188.222222222222,"2",NA,0.743961352657005,-0.256038647342995,253,"cst","3","3","1","3","2","2","graphic (knw)","spd_inst",NA,116
136,39,"Man","Right-handed","5","Forward",NA,NA,NA,"2",NA,NA,NA,210,"cst","2","3","3","2","3","2","graphic (knw)","spd_inst",NA,116
137,19,"Man","Right-handed","4","Backward",NA,200,145.555555555556,"2",NA,0.632850241545894,-0.367149758454106,230,"cst","3","2","1","3","2","2","graphic (knw)","spd_inst",NA,116
138,52,"Man","Right-handed","6","Backward",NA,250,250,"3",NA,0.980392156862745,-0.0196078431372549,255,"cst","2","1","2","3","3","5","graphic (knw)","spd_inst",NA,116
140,35,"Woman","Right-handed","6","Backward",NA,300,226.666666666667,"2",NA,0.778923253150057,-0.221076746849943,291,"cst","2","3","1","2","3","1","graphic (knw)","spd_inst",NA,116
141,21,"Man","Left-handed","1","Backward",NA,280,115.111111111111,"2",NA,1.43888888888889,0.438888888888889,80,"dec","3","2","1","3","3","3","graphic (knw)","spd_inst",NA,116
142,20,"Woman","Right-handed","3","Backward",NA,300,96.6666666666667,"2",NA,1.79012345679012,0.790123456790124,54,"acc","3","1","1","3","2","5","graphic (knw)","spd_inst",NA,124
143,38,"Man","Right-handed","5","Forward",NA,200,122.222222222222,"2",NA,0.428849902534113,-0.571150097465887,285,"cst","4","1","1","3","1","2","graphic (knw)","spd_inst",NA,116
144,22,"Man","Right-handed","3","Forward",NA,320,71.1111111111111,"3",NA,0.808080808080808,-0.191919191919192,88,"dec","3","3","1","3","2","5","graphic (knw)","spd_inst",NA,116
145,19,"Man","Left-handed","3","Forward",NA,200,146.666666666667,"2",NA,0.695102685624013,-0.304897314375987,211,"acc","3","3","3","2","1","2","graphic (knw)","spd_inst",NA,124
146,35,"Woman","Left-handed","2","Backward",NA,350,NA,"2",NA,NA,NA,293,"cst","3","3","1","3","2","3","graphic (knw)","spd_inst",NA,124
147,27,"Man","Right-handed","5","Backward",NA,296,111.822222222222,"2",NA,0.520103359173127,-0.479896640826873,215,"acc","2","3","2","3","3","1","graphic (knw)","spd_inst",NA,124
148,70,"Man","Right-handed","5","Backward",NA,300,196.666666666667,"3",NA,0.671217292377702,-0.328782707622298,293,"cst","3","2","1","3","2","1","graphic (knw)","spd_inst",NA,124
149,18,"Woman","Right-handed","5","Backward",NA,200,166.666666666667,"2",NA,0.709219858156029,-0.290780141843972,235,"cst","3","3","1","3","1","2","graphic (knw)","spd_inst",NA,124
150,49,"Woman","Right-handed","3","Backward",NA,300,NA,"2",NA,NA,NA,235,"cst","2","3","1","4","1","6","graphic (knw)","spd_inst",NA,124
151,18,"Woman","Right-handed","1","Backward",NA,200,102.222222222222,"1",NA,0.396210163652024,-0.603789836347976,258,"cst","3","3","1","4","1","1","graphic (knw)","spd_inst",NA,124
152,20,"Woman","Right-handed","1","Backward",NA,300,246.666666666667,"1",NA,0.956072351421189,-0.0439276485788114,258,"cst","3","4","1","4","1","1","graphic (knw)","spd_inst",NA,124
153,32,"Woman","Right-handed","1","Backward",NA,210,106.166666666667,"2",NA,0.40062893081761,-0.59937106918239,265,"cst","3","2","2","2","1","2","graphic (knw)","spd_inst",NA,124
154,25,"Man","Right-handed","4","Backward",NA,400,344.444444444444,"3",NA,1.23015873015873,0.23015873015873,280,"cst","4","3","2","3","1","2","graphic (knw)","spd_inst",NA,124
155,28,"Woman","Right-handed","3","Backward",NA,100,66.1111111111111,"3",NA,0.30050505050505,-0.69949494949495,220,"dec","3","4","1","4","1","1","graphic (knw)","spd_inst",NA,124
156,26,"Man","Right-handed","6","Forward",NA,310,NA,"3",NA,NA,NA,285,"cst","2","3","1","2","2","2","graphic (knw)","spd_inst",NA,124
157,67,"Man","Left-handed","4","Forward",NA,280,222.444444444444,"3",NA,0.823868312757202,-0.176131687242798,270,"cst","2","3","1","1","2","3","graphic (knw)","spd_inst",NA,124
159,40,"Man","Right-handed","6","Backward",NA,380,255.444444444444,"3",NA,1.66957153231663,0.66957153231663,153,"dec","3","4","1","3","1","2","graphic (knw)","spd_inst",NA,124
160,20,"Man","Left-handed","3","Backward",NA,200,140,"2",NA,1.05263157894737,0.0526315789473684,133,"dec","2","3","2","2","3","5","graphic (knw)","spd_inst",NA,124
161,61,"Woman","Right-handed","6","Forward",NA,200,115.555555555556,"3",NA,0.563685636856369,-0.436314363143631,205,"acc","2","1","1","3","1","2","graphic (knw)","spd_inst",NA,116
162,26,"Woman","Right-handed","1","Forward",NA,100,71.1111111111111,"2",NA,0.629301868239921,-0.370698131760079,113,"acc","4","2","1","3","1","3","graphic (knw)","spd_inst",NA,116
163,24,"Woman","Left-handed","1","Backward",NA,280,196,"3",NA,0.837606837606838,-0.162393162393162,234,"cst","3","2","1","3","1","2","graphic (knw)","spd_inst",NA,116
164,49,"Woman","Right-handed","2","Backward",NA,300,188.333333333333,"3",NA,1.2390350877193,0.239035087719298,152,"cst","3","2","1","2","1","2","graphic (knw)","spd_inst",NA,116
165,29,"Man","Right-handed","2","Backward",NA,320,243.555555555556,"3",NA,0.86984126984127,-0.13015873015873,280,"cst","3","3","3","3","1","5","graphic (knw)","spd_inst",NA,116
166,25,"Woman","Right-handed","6","Forward",NA,230,152.055555555556,"1",NA,0.533528265107212,-0.466471734892788,285,"cst","2","2","1","2","3","2","graphic (knw)","spd_inst",NA,116
167,70,"Woman","Right-handed","5","Backward",NA,250,NA,"2",NA,NA,NA,283,"cst","3","3","1","2","1","2","graphic (knw)","spd_inst",NA,116
168,26,"Man","Right-handed","2","Backward",NA,370,273.388888888889,"2",NA,1.05149572649573,0.0514957264957266,260,"cst","3","1","3","2","4","5","graphic (knw)","spd_inst",NA,116
169,29,"Man","Right-handed","2","Forward",NA,320,227.555555555556,"2",NA,0.910222222222222,-0.0897777777777777,250,"cst","2","1","2","3","3","5","graphic (knw)","spd_inst",NA,116
170,39,"Man","Right-handed","4","Backward",NA,300,NA,"2",NA,NA,NA,240,"cst","2","1","1","2","2","2","graphic (knw)","spd_inst",NA,116
171,22,"Woman","Right-handed","4","Backward",NA,277,246.222222222222,"2",NA,0.929140461215933,-0.0708595387840672,265,"cst","3","2","1","3","2","5","graphic (knw)","spd_inst",NA,116
172,40,"Woman","Right-handed","5","Backward",NA,200,155.555555555556,"2",NA,0.610021786492375,-0.389978213507625,255,"cst","2","4","1","4","3","2","graphic (knw)","spd_inst",NA,116
173,60,"Woman","Right-handed","4","Forward",NA,190,154.111111111111,"1",NA,0.575041459369818,-0.424958540630182,268,"cst","3","1","3","2","1","6","graphic (knw)","spd_inst",NA,116
174,42,"Woman","Right-handed","1","Forward",NA,300,NA,"3",NA,NA,NA,82,"dec",NA,"1","1","2","2","2","graphic (knw)","spd_inst",NA,116
175,29,"Woman","Right-handed","3","Forward",NA,350,287.777777777778,"1",NA,1.33850129198966,0.338501291989664,215,"dec","3","3","1","2","3","2","graphic (knw)","spd_inst",NA,116
177,47,"Woman","Right-handed","2","Backward",NA,300,300,"3",NA,1.0989010989011,0.0989010989010989,273,"cst","3","3","2","3","2","5","graphic (knw)","spd_inst",NA,124
178,40,"Woman","Right-handed","6","Backward",NA,200,131.111111111111,"2",NA,0.476767676767677,-0.523232323232323,275,"cst","3","2","1","2","2","3","graphic (knw)","spd_inst",NA,124
179,54,"Man","Right-handed","1","Forward",NA,300,103.333333333333,"2",NA,1.91358024691358,0.91358024691358,54,"acc","3","3","2","3","2","2","graphic (knw)","spd_inst",NA,116
182,NA,"Man",NA,"3","Forward",NA,300,255,"3",NA,0.99609375,-0.00390625,256,"cst","4","1","1","3","1","5","graphic (knw)","spd_inst",NA,124
187,45,"Man","Right-handed","1","Forward",NA,320,160,"3",NA,0.776699029126214,-0.223300970873786,206,"dec","3","2","2","2","3","5","graphic (knw)","spd_inst",NA,124
188,38,"Man","Right-handed","6","Forward",NA,180,128,"2",NA,0.457142857142857,-0.542857142857143,280,"acc","3","2","1","3","3","2","graphic (knw)","spd_inst",NA,116
189,38,"Woman","Right-handed","2","Backward",NA,300,220,"3",NA,0.771929824561403,-0.228070175438597,285,"cst","3","2","1","2","2","1","graphic (knw)","spd_inst",NA,116
191,50,"Man","Right-handed","6","Forward",NA,300,NA,"3",NA,NA,NA,285,"cst","3","2","1","3","1","5","graphic (knw)","spd_inst",NA,124
192,21,"Man","Right-handed","2","Forward",NA,400,NA,"2",NA,NA,NA,291,"cst","3","3","1","2","1","2","graphic (knw)","spd_inst",NA,124
194,63,"Man","Left-handed","3","Forward",NA,250,NA,"2",NA,NA,NA,231,"cst","2","2","2","2","2","2","graphic (knw)","spd_inst",NA,124
197,23,"Woman","Right-handed","2","Forward",NA,180,145,"2",NA,0.557692307692308,-0.442307692307692,260,"cst","3","2","1","2","1","2","graphic (knw)","spd_inst",NA,116
198,26,"Woman","Right-handed","1","Backward",NA,350,70,"2",NA,1.2962962962963,0.296296296296296,54,"acc","3","1","1","3","1","1","graphic (knw)","spd_inst",NA,116
199,42,"Man","Left-handed","5","Backward",NA,300,260,"3",NA,0.896551724137931,-0.103448275862069,290,"cst","3","2","1","3","1","2","graphic (knw)","spd_inst",NA,116
200,30,"Man","Right-handed","6","Forward",NA,363,NA,"2",NA,NA,NA,104,"dec","3","3","1","3","1","2","graphic (knw)","spd_inst",NA,116
201,35,"Man","Right-handed","2","Forward",NA,390,268.666666666667,"3",NA,1.01767676767677,0.0176767676767677,264,"cst","3","3","1","3","3","6","graphic (knw)","spd_inst",NA,116
202,30,"Woman","Right-handed","4","Forward",NA,530,197.277777777778,"1",NA,1.28102453102453,0.281024531024531,154,"dec","2","4","1","3","3","2","graphic (knw)","spd_inst",NA,116
206,49,"Woman","Right-handed","4","Forward",NA,250,198.611111111111,"2",NA,0.692024777390631,-0.307975222609369,287,"dec","4","2","1","3","1","3","graphic (knw)","spd_inst",NA,124
207,26,"Man","Right-handed","1","Backward",NA,300,188.333333333333,"3",NA,1.25555555555556,0.255555555555556,150,"acc","3","1","1","3","3","5","graphic (knw)","spd_inst",NA,116
208,41,"Woman","Left-handed","3","Forward",NA,300,300,"3",NA,1.05263157894737,0.0526315789473684,285,"cst","3","1","1","4","1","5","graphic (knw)","spd_inst",NA,124
209,72,"Man","Right-handed","4","Forward",NA,305,250.777777777778,"3",NA,0.841536167039523,-0.158463832960477,298,"cst","3","3","1","3","1","3","graphic (knw)","spd_inst",NA,124
210,58,"Man","Right-handed","4","Backward",NA,220,169.888888888889,"2",NA,0.596101364522417,-0.403898635477583,285,"cst","3","3","2","3","2","5","graphic (knw)","spd_inst",NA,124
211,69,"Woman","Right-handed","6","Backward",NA,350,73.8888888888889,"2",NA,0.890227576974565,-0.109772423025435,83,"dec",NA,"1","2","3","1","2","graphic (knw)","spd_inst",NA,124
212,55,"Woman","Right-handed","5","Forward",NA,400,197.777777777778,"2",NA,0.735233374638579,-0.264766625361421,269,"cst","3","2","2","2","1","5","graphic (knw)","spd_inst",NA,124
213,50,"Man","Right-handed","5","Forward",NA,300,NA,"3",NA,NA,NA,290,"cst","3","3","1","3","1","2","graphic (knw)","spd_inst",NA,124
214,31,"Woman","Right-handed","4","Backward",NA,280,98,"3",NA,1.15294117647059,0.152941176470588,85,"dec","3","2","1","3","1","5","graphic (knw)","spd_inst",NA,124
215,27,"Man","Right-handed","3","Backward",NA,300,NA,"2",NA,NA,NA,60,"dec","4",NA,"1","4","1","2","graphic (knw)","spd_inst",NA,124
216,24,"Woman","Left-handed","6","Backward",NA,250,72.2222222222222,"2",NA,0.687830687830688,-0.312169312169312,105,"acc","4","1","1","4","1","2","graphic (knw)","spd_inst",NA,116
217,37,"Woman","Right-handed","1","Backward",NA,250,223.611111111111,"2",NA,0.972222222222222,-0.0277777777777778,230,"acc","4","1","1","1","1","2","graphic (knw)","spd_inst",NA,116
