"participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur"
43,NA,"Woman",NA,"5","Forward","Yes",124,12,"3","2",0.995850622406647,-0.00414937759335269,12.0499999999999,"acc","4","1","2","3","1","1","numeric","dur",NA,124
46,NA,"Woman",NA,"3","Forward","Yes",116,5,"2","2",0.635593220338987,-0.364406779661013,7.86666666666662,"acc","1","2","3","2","1","6","numeric","dur",NA,124
47,NA,"Woman",NA,"2","Forward","No",120,60,"2","3",2.05949656750572,1.05949656750572,29.1333333333333,"cst","2","3","2","2","3","4","numeric","dur",NA,116
48,NA,"Woman",NA,"1","Forward","Yes",116,50,"3","3",1.78571428571429,0.785714285714286,28,"cst","3","2","1","4","2","3","numeric","dur",NA,116
49,NA,"Woman",NA,"6","Backward","Yes",117,80,"3","3",1.00988849147907,0.00988849147906674,79.2166666666666,"cst","2","4","1","3","3","2","numeric","dur",NA,116
50,NA,"Man",NA,"5","Forward","Yes",116,90,"3","3",0.990825688073394,-0.00917431192660623,90.8333333333334,"dec","3","1","1","2","2","5","numeric","dur",NA,116
51,NA,"Man",NA,"2","Backward","Yes",124,40,"3","2",0.713436385255648,-0.286563614744352,56.0666666666667,"cst","4","3","1","2","1","2","numeric","dur",NA,116
52,NA,"Woman",NA,"4","Backward","Yes",120,45,"3","3",1.07741420590583,0.0774142059058251,41.7666666666667,"cst","4","3","1","3","1","1","numeric","dur",NA,116
53,NA,"Man",NA,"2","Backward","Yes",120,75,"3","2",0.961743962385125,-0.0382560376148746,77.9833333333333,"cst","3","2","1","1","2","2","numeric","dur",NA,116
55,NA,"Man",NA,"3","Backward","Yes",124,50,"2","3",1.72215843857635,0.722158438576351,29.0333333333333,"cst","3","3","1","3","1","2","numeric","dur",NA,124
56,NA,"Woman",NA,"6","Forward","No",130,125,"3","3",1.08821822402786,0.0882182240278552,114.866666666667,"dec","2","2","3","1","3","2","numeric","dur",NA,124
57,NA,"Woman",NA,"5","Forward","Yes",124,110,"4","3",1.01025562528701,0.0102556252870075,108.883333333333,"dec","3","1","1","3","1","5","numeric","dur",NA,124
58,NA,"Woman",NA,"1","Backward","Yes",124,120,"3","3",1.0352264557872,0.0352264557872005,115.916666666667,"dec","3","3","1","4","1","5","numeric","dur",NA,124
59,NA,"Woman",NA,"5","Backward","Yes",120,70,"3","2",1.14410242440752,0.144102424407517,61.1833333333334,"cst","3","2","1","2","1","2","numeric","dur",NA,116
60,NA,"Woman",NA,"2","Forward","Yes",120,10,"3","3",1.43884892086329,0.438848920863295,6.95000000000007,"acc","2","2","1","3","1","3","numeric","dur",NA,124
61,NA,"Man",NA,"3","Backward","No",121,30,"3","2",0.96,-0.04,31.25,"cst","3","2","1","3","2","2","numeric","dur",NA,116
62,NA,"Man",NA,"5","Forward","Yes",125,55,"3","2",0.949367088607595,-0.0506329113924045,57.9333333333333,"cst","4","1","1","2","1","2","numeric","dur",NA,116
