"","participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur","ME","RME","ERM"
"207",239,22,"Man","Left-handed",5,"Forward","Yes",120,26,3,3,1.49712092130518,0.49712092130518,17.3666666666667,"cst",3,1,1,3,2,2,"graphic","dur",NA,124,25.5,1.468330134357,0.468330134357003
"208",240,51,"Woman","Right-handed",6,"Backward","Yes",124,47.5333333333333,1,1,1.87139107611548,0.871391076115478,25.4000000000001,"cst",3,3,NA,4,1,2,"graphic","dur",NA,124,46.2666666666667,1.82152230971128,0.821522309711279
"210",242,24,"Man","Right-handed",1,"Forward","No",120,60,3,3,1.06382978723404,0.0638297872340407,56.4000000000001,"cst",3,1,1,3,2,5,"graphic","dur",NA,124,60,1.06382978723404,0.0638297872340407
"211",244,18,"Woman","Right-handed",2,"Backward","Yes",124,51.6666666666667,2,3,0.677447552447552,-0.322552447552448,76.2666666666667,"cst",3,2,1,3,3,4,"graphic","dur",NA,124,60.8333333333333,0.79763986013986,-0.20236013986014
"212",245,18,"Man","Right-handed",1,"Backward","No",120,75.3333333333333,3,2,1.01299865531152,0.0129986553115189,74.3666666666667,"cst",2,3,2,2,3,2,"graphic","dur",NA,124,77.6666666666667,1.04437471985656,0.044374719856566
"213",246,18,"Man","Right-handed",5,"Forward","No",132,42.1666666666667,3,3,0.462016070124178,-0.537983929875822,91.2666666666667,"cst",2,1,1,3,1,2,"graphic","dur",NA,124,68.5833333333333,0.751460920379839,-0.248539079620161
"214",248,26,"Woman","Right-handed",2,"Forward","Yes",118,111.444444444444,3,3,0.949810606060609,-0.0501893939393913,117.333333333333,"dec",4,1,1,3,1,5,"graphic","dur",NA,124,112.222222222222,0.956439393939397,-0.0435606060606034
"215",249,21,"Woman","Right-handed",1,"Backward","Yes",136,30.9777777777778,2,3,0.9187675070028,-0.0812324929971997,33.7166666666667,"cst",2,1,2,2,3,2,"graphic","dur",NA,116,32.9888888888889,0.97841489536991,-0.0215851046300882
"216",250,33,"Man","Right-handed",4,"Forward","Yes",120,52.6666666666667,3,3,1.2001519179643,0.2001519179643,43.8833333333333,"cst",2,3,1,4,2,4,"graphic","dur",NA,116,51.3333333333333,1.16976832510445,0.169768325104445
"218",252,22,"Woman","Right-handed",5,"Forward","Yes",119,70.0777777777778,2,2,1.08200377423229,0.0820037742322865,64.7666666666667,"cst",3,2,2,3,2,2,"graphic","dur",NA,116,72.5388888888889,1.12000343112026,0.12000343112026
"219",253,24,"Man","Left-handed",3,"Backward","Yes",119,6.28055555555556,3,3,0.810394265232976,-0.189605734767024,7.74999999999999,"acc",2,2,1,3,1,1,"graphic","dur",NA,116,5.64027777777778,0.727777777777779,-0.272222222222221
"220",256,19,"Woman","Right-handed",5,"Backward","Yes",119,18.5111111111111,4,3,0.694166666666668,-0.305833333333332,26.6666666666666,"cst",3,2,1,4,1,4,"graphic","dur",NA,116,24.2555555555555,0.909583333333334,-0.0904166666666645
"221",257,19,"Man","Left-handed",3,"Forward","Yes",120,24,2,2,0.490630323679728,-0.509369676320272,48.9166666666666,"cst",2,2,3,3,2,6,"graphic","dur",NA,116,29.5,0.603066439522999,-0.396933560477001
"223",259,36,"Man","Right-handed",6,"Forward","No",119,54.8722222222222,3,3,0.889339095984154,-0.110660904015846,61.6999999999999,"cst",3,2,1,3,2,2,"graphic","dur",NA,116,54.9361111111111,0.890374572303261,-0.109625427696739
"224",260,55,"Man","Right-handed",1,"Backward","Yes",120,72,3,2,1.01432261094154,0.014322610941536,70.9833333333333,"cst",3,2,2,3,1,2,"graphic","dur",NA,116,73.5,1.03545433200282,0.035454332002818
"225",261,30,"Woman","Right-handed",2,"Forward","No",120,78.3333333333333,3,2,1.08771117796806,0.087711177968064,72.0166666666666,"cst",2,2,2,3,3,4,"graphic","dur",NA,116,76.6666666666667,1.06456838694746,0.0645683869474669
"226",262,23,"Woman","Right-handed",4,"Forward","Yes",120,70.6666666666667,4,3,0.864424057084609,-0.135575942915391,81.7499999999999,"cst",3,3,1,3,1,2,"graphic","dur",NA,116,70.3333333333333,0.860346585117229,-0.139653414882771
